"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COLOUR";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"HEIGHT";"LEAD_FREE";"LED_ORIENTATION";"LUMINOUS_INTENSITY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"REVERSE_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TP_SIGNAL_NAME";"VENDOR";"VERIFICATION_VERSION";"VIEWING_ANGLE";"WAVELENGTH";
"3";"KINGBRIGHT_KPT-1608SGCKINGBRIGHT_KPT-1608SGC_0_0";"KINGBRIGHT_KPT-1608SGCKINGBRIGHT_KPT-1608SGC_0_0";"KINGBRIGHT_KPT-1608SGC_0";"D4, D5, D11";"LED, Low Power, Green, SMD, 20 mA, 2.2 V, 568 nm";"";"No";"Green";"";"http://www.kingbright.com/attachments/file/psearch/000/00/00/KPT-1608SGC(Ver.29B).pdf";"";"Optoelectronics";"LEDs";"unset";"";"";"25mA";"2.2V";"0.85mm";"yes";"Top View";"12mcd";"";"";"+110°C";"Kingbright";"KPT-1608SGC";"0";"0";"";"";"";"KPT-1608SGC";"0603";"";"62.5mW";"D";"5V";"yes";"";"+85°C";"-40°C";"";"";"0.0.0.1";"150°";"568nm";
"1";"MIMXRT1052DVL6A";"MIMXRT1052DVL6A";"BGA196C65P14X14_1000X1000X152N";"U1";"MIMXRT1052: 3.3 V 600 MHz ARM® Cortex®-M7 Microprocessor IC";"";"";"";"";"";" MIMXRT1052: 3.3 V 600 MHz ARM® Cortex®-M7 Microprocessor IC ";"";"";"";"568-13515-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/MIMXRT1052DVL6A/568-13515-ND/7646297?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"NXP USA";"";"";"";"";"";"MIMXRT1052DVL6A";"";"LFBGA-196 NXP Semiconductors";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MK20DX128VFM5";"MK20DX128VFM5";"QFN50P500X500X100-33N";"U4";"Kinetis K20: 50MHz Cortex-M4 Performance MCU, 160KB Flash, 16KB SRAM, Full-Speed USB, 32-QFN";"";"";"";"";"";" MCU 32-bit Kinetis K20 ARM Cortex M4 RISC 128KB Flash 1.8V/2.5V/3.3V 32-Pin QFN EP Tray ";"";"";"";"MK20DX128VFM5-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/MK20DX128VFM5/MK20DX128VFM5-ND/3507507?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"MikroElektronika";"";"";"";"";"";"MK20DX128VFM5";"";"QFN-32 Freescale Semiconductor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MP2144GJ-Z";"MP2144GJ-Z";"SOT65P280X100-8N";"IC5";"Switching Voltage Regulators 2A, 5.5V, 1.2MHz Sync Stp-Dwn Swtchr";"";"";"";"";"";"Switching Voltage Regulators 2A, 5.5V, 1.2MHz Sync Stp-Dwn Swtchr";"";"";"";"";"";"";"";"1mm";"";"";"";"Monolithic Power Systems (MPS)";"MP2144GJ-Z";"";"";"";"";"";"946-MP2144GJZ";"https://www.mouser.com/Search/Refine.aspx?Keyword=946-MP2144GJZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NLX2G14CMUTCG";"NLX2G14CMUTCG";"UDFN6_1X1";"U5";"";"EMA_Jessica";"";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NLX2G14CMUTCG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON Semiconductor";"";"";"";
"1";"NTSX2102GU8H";"NTSX2102GU8H";"QFN40P140X120X50-8N";"U6";"NTSX2102 - Dual supply translating transceiver; open drain; auto direction sensing";"";"";"";"";"";" NTSX2102 - Dual supply translating transceiver";" open drain";" auto direction sensing ";"";"";"";"568-10216-1-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/NTSX2102GU8H/568-10216-1-ND/3991872?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"NXP USA";"";"";"";"";"";"NTSX2102GU8H";"";"XQFN-8 NXP Semiconductors";"";"";"";"";"";"";"";"";"";"";"";
"1";"NX5P3090UKZ";"NX5P3090UKZ";"BGA12CP40_3X4_135X165X56B26N";"U8";"USB Power SW Single 2.5V to 5.5V 0.4A to 3.3A 12-Pin WLCSP";"";"";"";"";"";" USB Power SW Single 2.5V to 5.5V 0.4A to 3.3A 12-Pin WLCSP ";"";"";"";"568-13049-1-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/NX5P3090UKZ/568-13049-1-ND/6173637?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"NXP USA";"";"";"";"";"";"NX5P3090UKZ";"";"UFBGA-12 NXP Semiconductors";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"S26KS512SDPBHI020";"S26KS512SDPBHI020";"BGA24C100P5X5_600X800X100";"IC2";"1.8V 512MBIT, HYPERFLASH, 166M";"";"";"";"";"";"1.8V 512MBIT, HYPERFLASH, 166M";"";"";"";"";"";"";"";"1mm";"";"";"";"Cypress Semiconductor";"S26KS512SDPBHI020";"";"";"";"";"";"727-26KS512SDPBHI020";"https://www.mouser.com/Search/Refine.aspx?Keyword=727-26KS512SDPBHI020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TC1270ASVRCTR";"TC1270ASVRCTR";"SOT-143_MC";"U9";"";"EMA_Jessica";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TC1270ASVRCTR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Microchip";"";"";"";
"1";"TL3301AF260QG";"TL3301AF260QG";"TL3301AF260QG";"S1";"E-SWITCH - TL3301AF260QG - SWITCH, TACTILE SPST 50mA, SMD GULL WING";"";"";"";"";"";"E-SWITCH - TL3301AF260QG - SWITCH, TACTILE SPST 50mA, SMD GULL WING";"";"";"";"";"";"";"";"7mm";"";"";"";"E-Switch";"TL3301AF260QG";"";"";"";"";"";"612-TL3301AF2";"https://www.mouser.com/Search/Refine.aspx?Keyword=612-TL3301AF2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"TPTP06R";"TPTP06R";"TP06R";"TP1, TP4, TP6, TP7, TP8, TP9, TP10, TP12, TP13, TP14, TP15, TP16";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
